CustomerKey|CustomerName|Gender|birthdate|MaritialStatus|EducationLevel|Occupation|AnnualIncome|Totalchildren
11069|CAROLYN NAVARRO|Female|1955-09-21|S|High School|Skilled Manual|80000.0|2
11070|WILLIE RAJI|Male|1955-04-05|M|High School|Skilled Manual|80000.0|2
11071|LINDA SERRANO|Female|1955-06-26|S|High School|Skilled Manual|80000.0|2
11072|CASEY LUO|Female|1955-02-06|S|High School|Skilled Manual|80000.0|2
11073|AMY YE|Female|1956-08-14|S|High School|Skilled Manual|70000.0|2
11074|LEVI ARUN|Male|1956-08-28|S|High School|Skilled Manual|70000.0|2
11075|FELICIA JIMENEZ|Female|1957-11-16|S|High School|Professional|80000.0|2
11076|BLAKE ANDERSON|Male|1957-07-13|S|High School|Professional|80000.0|2
11077|LEAH YE|Female|1957-09-19|S|High School|Professional|80000.0|2
11078|GINA MARTIN|Female|1974-01-10|S|High School|Professional|40000.0|0
11079|DONALD GONZALEZ|Male|1959-03-11|S|Graduate Degree|Management|160000.0|0
11080|DAMIEN CHANDER|Male|1959-07-17|M|Graduate Degree|Management|170000.0|0
11081|SAVANNAH BAKER|Female|1966-07-24|M|Bachelors|Management|120000.0|2
11082|ANGELA BUTLER|Unknown|1966-08-04|S|Graduate Degree|Management|130000.0|0
11083|ALYSSA COX|Female|1966-03-15|M|Graduate Degree|Management|130000.0|0
11084|LUCAS PHILLIPS|Male|1957-09-12|S|Partial High School|Skilled Manual|80000.0|2
11085|EMILY JOHNSON|Female|1957-07-19|S|High School|Professional|60000.0|2
11086|RYAN BROWN|Male|1957-12-23|M|Partial College|Professional|70000.0|2
11087|TAMARA LIANG|Female|1957-10-03|M|Partial College|Professional|70000.0|3
11089|ABIGAIL PRICE|Female|1957-02-05|S|Bachelors|Management|80000.0|2
11090|TREVOR BRYANT|Male|1957-12-17|S|Partial College|Professional|90000.0|2
11091|DALTON PEREZ|Male|1957-04-04|M|Partial College|Professional|90000.0|2
11092|CHERYL DIAZ|Female|1967-05-06|M|Bachelors|Professional|90000.0|2
11093|AIMEE HE|Female|1967-09-10|M|Graduate Degree|Management|100000.0|0
11094|CEDRIC MA|Male|1962-04-01|S|Partial College|Skilled Manual|70000.0|1
11095|CHAD KUMAR|Male|1962-09-01|S|Partial College|Skilled Manual|70000.0|1
11096|ANDRÉS ANAND|Male|1962-08-10|M|Bachelors|Professional|60000.0|1
11097|EDWIN NARA|Male|1961-10-27|M|Partial College|Skilled Manual|60000.0|1
11098|MALLORY RUBIO|Female|1961-05-01|S|Partial College|Skilled Manual|60000.0|1
11099|ADAM ROSS|Male|1961-03-08|M|Bachelors|Professional|60000.0|1
11100|LATASHA NAVARRO|Female|1960-09-15|S|Partial College|Skilled Manual|60000.0|1
11101|ABBY SAI|Female|1965-05-08|S|Bachelors|Professional|70000.0|0
11102|JULIA NELSON|Female|1965-04-21|S|Bachelors|Professional|80000.0|5
11103|CASSIE CHANDE|Female|1964-10-17|S|Bachelors|Professional|70000.0|0
11104|EDGAR SARA|Male|1964-03-11|M|Bachelors|Professional|70000.0|0
11105|CANDACE FERNANDEZ|Female|1964-12-28|S|Bachelors|Professional|70000.0|0
11106|JESSIE LIU|Male|1964-09-11|S|Bachelors|Professional|70000.0|0
11107|BIANCA LIN|Female|1959-09-09|M|Bachelors|Professional|90000.0|1
11108|KARI ALVAREZ|Female|1963-07-14|S|Bachelors|Professional|70000.0|0
11109|RUBEN KAPOOR|Male|1963-11-05|S|Bachelors|Professional|70000.0|0
11110|CURTIS YANG|Male|1962-06-06|M|Partial College|Skilled Manual|60000.0|1
11111|MEREDITH GUTIERREZ|Female|1962-02-23|M|Partial College|Skilled Manual|60000.0|1
11112|CRYSTAL WANG|Female|1962-09-09|M|Partial College|Skilled Manual|60000.0|1
11113|MICHEAL BLANCO|Male|1962-02-21|M|Bachelors|Professional|70000.0|5
11114|LESLIE MORENO|Female|1962-05-28|S|Partial College|Skilled Manual|70000.0|5
11115|ALVIN CAI|Male|1962-02-12|M|Partial College|Skilled Manual|70000.0|5
11116|CLINTON CARLSON|Male|1962-10-07|M|Partial College|Skilled Manual|70000.0|5
11117|APRIL DENG|Female|1961-02-21|M|Partial College|Skilled Manual|70000.0|5
11118|ALVIN ZENG|Male|1957-07-03|S|Partial College|Skilled Manual|80000.0|1
11119|EVAN JAMES|Male|1935-04-10|S|Partial College|Clerical|30000.0|2
11121|ORLANDO SUAREZ|Male|1960-11-18|M|Partial College|Skilled Manual|70000.0|5
11122|BYRON VAZQUEZ|Male|1960-04-02|M|Partial College|Skilled Manual|70000.0|5
11123|PHILIP ALVAREZ|Male|1960-06-20|M|Partial College|Skilled Manual|70000.0|5
11124|ROSS JORDAN|Male|1957-07-27|S|Partial College|Skilled Manual|80000.0|1
11125|DANA NAVARRO|Female|1956-04-08|S|Partial College|Skilled Manual|70000.0|1
11126|SHAUN CARSON|Male|1949-04-07|M|High School|Skilled Manual|10000.0|2
11127|JAN EDWARDS|Female|1975-10-21|M|High School|Skilled Manual|40000.0|0
11128|SAMANTHA LONG|Female|1975-12-05|M|High School|Skilled Manual|40000.0|0
11129|JULIA WRIGHT|Female|1975-08-05|S|High School|Skilled Manual|40000.0|0
11130|CAROLINE RUSSELL|Female|1980-01-06|M|High School|Skilled Manual|30000.0|0
11131|AMANDA RIVERA|Female|1980-03-12|M|High School|Skilled Manual|30000.0|0
11132|MELISSA RICHARDSON|Female|1980-10-26|S|High School|Skilled Manual|30000.0|0
11133|ANGELA GRIFFIN|Female|1980-09-08|S|Partial High School|Clerical|30000.0|0
11134|LARRY TOWNSEND|Male|1946-02-26|S|High School|Skilled Manual|10000.0|5
11135|MARCUS HARRIS|Male|1979-11-03|S|Partial High School|Clerical|30000.0|0
11136|BRIANNA MORGAN|Female|1978-10-26|S|High School|Skilled Manual|40000.0|0
11137|JASMINE TAYLOR|Female|1978-07-20|M|High School|Skilled Manual|40000.0|0
11138|LAUREN DAVIS|Female|1978-09-15|M|High School|Skilled Manual|40000.0|0
11139|TANYA MORENO|Female|1938-11-09|S|Partial College|Clerical|30000.0|2
11140|JAVIER ALVAREZ|Male|1977-02-11|S|Partial High School|Clerical|30000.0|0
11141|NICOLE RAMIREZ|Female|1977-06-21|M|High School|Skilled Manual|40000.0|0
11142|EDUARDO PATTERSON|Male|1977-08-14|S|High School|Skilled Manual|40000.0|0
11143|JONATHAN HENDERSON|Male|1977-02-04|M|High School|Skilled Manual|40000.0|0
11144|EDWARD HERNANDEZ|Male|1979-09-09|S|High School|Skilled Manual|40000.0|0
11145|JASMINE COLEMAN|Female|1979-12-08|S|High School|Skilled Manual|40000.0|0
11146|KARLA GOEL|Female|1939-08-26|S|Bachelors|Management|40000.0|2
11147|ERNEST WU|Male|1939-02-05|M|Graduate Degree|Management|60000.0|2
11148|ROSS VAZQUEZ|Male|1941-08-16|M|Bachelors|Management|40000.0|2
11149|THEODORE GILL|Male|1941-04-20|M|Bachelors|Management|40000.0|2
11150|RUSSELL SHEN|Male|1941-03-15|S|Bachelors|Management|40000.0|2
11151|MELINDA GILL|Female|1942-02-25|S|Graduate Degree|Management|60000.0|2
11152|JAMES WILLIAMS|Male|1976-01-10|S|High School|Skilled Manual|40000.0|0
11153|ANGELA JAMES|Female|1976-06-23|M|High School|Skilled Manual|40000.0|0
11154|MEGAN WALKER|Female|1976-08-21|S|Partial College|Skilled Manual|40000.0|0
11155|HUNTER ROBINSON|Male|1976-01-26|S|Partial College|Skilled Manual|40000.0|0
11156|MARIA ROBERTS|Female|1976-02-07|S|Partial College|Skilled Manual|40000.0|0
11157|HANNAH LONG|Female|1975-06-11|M|High School|Skilled Manual|40000.0|0
11158|JASON WRIGHT|Male|1975-10-08|S|High School|Skilled Manual|40000.0|0
11159|BRIANNA HUGHES|Female|1975-09-17|S|High School|Skilled Manual|40000.0|0
11160|MAURICE TANG|Male|1974-01-08|S|Partial College|Skilled Manual|40000.0|0
11161|EMILY WOOD|Female|1974-04-22|S|Partial College|Skilled Manual|40000.0|0
11162|CHASE COX|Male|1974-03-05|S|Partial College|Skilled Manual|40000.0|0
11163|GABRIEL WANG|Male|1974-12-20|M|Partial College|Skilled Manual|40000.0|0
11164|DEVIN BROOKS|Male|1974-05-05|S|Partial College|Skilled Manual|40000.0|0
11165|JOCELYN ALEXANDER|Female|1973-07-18|M|Partial College|Skilled Manual|60000.0|0
11166|ASHLEY MARTINEZ|Female|1972-04-24|S|Partial College|Skilled Manual|70000.0|0
11167|JASMINE BARNES|Female|1972-08-01|S|Bachelors|Management|80000.0|0
11168|DAVID RODRIGUEZ|Male|1968-05-15|S|Bachelors|Management|80000.0|0
11169|BRYCE RICHARDSON|Male|1968-06-22|M|Bachelors|Management|90000.0|4
11170|CAROL HOWARD|Female|1968-02-05|M|Bachelors|Management|90000.0|4
11171|JONATHAN HILL|Male|1967-10-09|S|Bachelors|Management|100000.0|1
11172|GABRIELLE ADAMS|Female|1967-11-21|M|Bachelors|Management|100000.0|1
11173|SARAH THOMAS|Female|1967-09-01|S|Graduate Degree|Management|110000.0|0
11174|NICHOLAS ROBINSON|Male|1967-07-13|M|Graduate Degree|Management|110000.0|0
11175|LUIS WANG|Male|1963-03-05|S|Partial College|Skilled Manual|70000.0|0
11176|MASON ROBERTS|Male|1968-01-25|M|Bachelors|Management|90000.0|4
11177|JOSE FLORES|Male|1942-07-04|M|Graduate Degree|Management|110000.0|2
11178|NATHAN JOHNSON|Male|1943-08-24|M|Graduate Degree|Management|100000.0|2
11179|MOLLY RODRIGUEZ|Female|1943-06-14|M|Graduate Degree|Management|120000.0|2
11180|APRIL ANAND|Female|1943-01-02|M|Bachelors|Management|160000.0|1
11181|DEVIN MARTIN|Male|1943-08-08|M|Graduate Degree|Management|170000.0|2
11182|STEPHANIE TORRES|Female|1944-08-25|S|Bachelors|Management|70000.0|4
11183|JASMINE LEE|Female|1944-07-15|S|Bachelors|Management|70000.0|4
11184|MEGHAN HERNANDEZ|Female|1944-11-16|S|Bachelors|Management|70000.0|4
11185|ASHLEY HENDERSON|Female|1944-10-08|S|Bachelors|Management|70000.0|4
11186|SARAH PRICE|Female|1944-05-21|S|Bachelors|Management|70000.0|4
11187|JENNIFER COOPER|Female|1944-02-22|M|Graduate Degree|Management|60000.0|4
11188|CATHERINE MORRIS|Female|1944-09-06|M|Graduate Degree|Management|60000.0|4
11190|CARSON BRYANT|Male|1944-06-22|M|Bachelors|Management|70000.0|5
11191|KRISTI PEREZ|Female|1945-12-18|S|Bachelors|Management|70000.0|5
11192|JAMES BROWN|Male|1945-09-13|M|Bachelors|Management|60000.0|4
11193|IAN GRAY|Male|1945-02-13|M|Bachelors|Management|60000.0|4
11194|JACQUELINE PRICE|Female|1945-06-10|M|Bachelors|Management|60000.0|4
11195|MEGAN HENDERSON|Female|1946-02-10|M|Bachelors|Management|60000.0|5
11196|ALFREDO ROMERO|Male|1946-06-07|M|Bachelors|Management|60000.0|5
11197|ANDREA MORRIS|Female|1946-06-18|M|Bachelors|Management|70000.0|3
11198|BROOKE SANDERS|Female|1946-11-26|S|Bachelors|Management|70000.0|4
11199|JACQUELINE BENNETT|Female|1946-11-06|M|Bachelors|Management|70000.0|4
11200|JASON GRIFFIN|Male|1947-11-22|M|Bachelors|Management|70000.0|4
11201|AMANDA FOSTER|Female|1947-08-18|M|Bachelors|Management|70000.0|4
11202|ALEXIA PRICE|Female|1947-08-26|M|Bachelors|Management|80000.0|5
11203|LUIS DIAZ|Male|1948-08-21|M|High School|Professional|40000.0|2
11205|ABBY FERNANDEZ|Female|1948-07-24|M|High School|Professional|40000.0|2
11206|BLAKE FLORES|Male|1948-09-24|M|Partial College|Professional|60000.0|2
11207|DANIELLE COX|Female|1948-07-19|S|Partial College|Professional|60000.0|2
11208|MARIA REED|Female|1948-02-04|M|Bachelors|Management|60000.0|2
11209|ALLISON EVANS|Female|1948-01-13|M|Bachelors|Management|60000.0|2
11210|EDWARD WOOD|Male|1948-06-08|M|Partial College|Professional|70000.0|4
11211|SAMANTHA RUSSELL|Female|1949-10-12|M|High School|Professional|40000.0|2
11212|CHLOE CAMPBELL|Female|1949-11-05|M|High School|Professional|40000.0|2
11213|STEPHANIE MURPHY|Female|1949-05-14|S|Partial College|Professional|60000.0|2
11214|CHARLES MILLER|Male|1949-11-07|S|Partial College|Professional|60000.0|2
11215|ANA PERRY|Female|1950-06-21|M|Partial High School|Skilled Manual|40000.0|2
11216|JASMINE TORRES|Female|1950-05-20|S|Partial College|Professional|60000.0|2
11217|NATALIE ADAMS|Female|1950-02-11|S|Partial College|Professional|60000.0|2
11218|OLIVIA BROWN|Female|1950-09-11|S|Partial College|Professional|60000.0|2
11219|CHARLES COOK|Male|1950-12-02|M|High School|Professional|60000.0|2
11220|ERICA HUANG|Female|1950-02-23|M|Partial College|Professional|60000.0|2
11221|NATHAN PERRY|Male|1950-06-10|M|Partial College|Professional|70000.0|4
11222|ALEXANDRA RIVERA|Female|1950-08-17|M|Bachelors|Management|80000.0|3
11223|HAILEY PATTERSON|Female|1951-09-16|S|High School|Professional|70000.0|2
11224|TIFFANY LI|Female|1951-09-06|S|High School|Professional|70000.0|2
11226|SYDNEY ROSS|Female|1951-09-27|M|Partial College|Professional|60000.0|2
11227|MARSHALL CHAVEZ|Male|1951-08-12|S|Partial College|Professional|60000.0|2
11228|ASHLEY JONES|Female|1951-04-19|M|Partial College|Professional|60000.0|2
11229|ADRIAN STEWART|Male|1951-12-03|S|Partial College|Professional|70000.0|4
11230|AMBER TURNER|Female|1951-04-03|M|Partial College|Professional|70000.0|4
11231|DENNIS ZHANG|Male|1952-11-14|M|High School|Professional|60000.0|2
11232|HAILEY BRYANT|Female|1952-09-27|M|High School|Professional|60000.0|3
11233|TODD LI|Male|1952-09-09|M|Partial College|Professional|70000.0|4
11234|ANNA GRIFFIN|Unknown|1952-11-19|S|Partial College|Professional|70000.0|4
11235|ANGEL STEWART|Male|1952-02-08|M|Partial College|Professional|70000.0|4
11236|JEREMY BUTLER|Male|1952-03-05|S|Partial College|Professional|70000.0|5
11237|CLARENCE ANAND|Male|1958-09-23|S|Bachelors|Management|130000.0|2
11238|MAYRA PRASAD|Female|1958-08-10|S|Bachelors|Management|130000.0|2
11239|LATOYA GOEL|Female|1958-10-06|M|Partial College|Professional|130000.0|2
11240|ANNE HERNANDEZ|Female|1958-12-11|M|Partial College|Professional|160000.0|2
11241|LISA CAI|Female|1957-10-11|S|Partial College|Professional|100000.0|2
11242|LARRY MUNOZ|Male|1957-11-11|M|Partial College|Professional|110000.0|2
11243|ROBIN ALVAREZ|Female|1957-10-09|M|Partial College|Professional|150000.0|2
11244|ALEXIS COLEMAN|Female|1957-11-26|S|Bachelors|Management|170000.0|2
11245|RICKY VAZQUEZ|Male|1956-10-27|M|High School|Professional|120000.0|3
11247|CLAUDIA ZHOU|Female|1956-06-06|S|Partial College|Professional|130000.0|3
11248|TRISTAN ALEXANDER|Male|1955-03-26|M|Partial College|Professional|110000.0|3
11249|CINDY PATEL|Female|1955-07-13|M|Partial College|Professional|130000.0|3
11250|SHANNON LIU|Female|1955-03-12|M|High School|Professional|170000.0|3
11251|XAVIER LONG|Male|1932-07-04|S|High School|Professional|30000.0|4
11252|NICHOLAS THOMPSON|Male|1932-06-07|S|Graduate Degree|Management|90000.0|3
11253|JOSÉ HERNANDEZ|Male|1933-02-28|M|Graduate Degree|Management|60000.0|2
11254|JOHNATHAN VANCE|Male|1933-03-03|M|Graduate Degree|Management|70000.0|4
11255|COLIN LIN|Male|1933-04-04|M|Graduate Degree|Management|70000.0|4
11256|KATELYN HERNANDEZ|Female|1933-09-20|M|Graduate Degree|Management|70000.0|4
11257|JACQUELINE POWELL|Female|1933-01-06|S|Graduate Degree|Management|120000.0|1
11258|XAVIER HILL|Male|1933-06-28|M|Graduate Degree|Management|120000.0|1
11259|VICTORIA STEWART|Female|1965-03-27|M|Partial College|Professional|100000.0|4
11260|KATELYN KELLY|Female|1965-04-12|M|Bachelors|Management|110000.0|2
11261|STEPHANIE COLLINS|Female|1965-04-24|M|Graduate Degree|Management|130000.0|1
11262|JENNIFER SIMMONS|Female|1964-05-04|M|Bachelors|Management|80000.0|4
11263|TRINITY RICHARDSON|Female|1964-09-11|M|Partial College|Professional|90000.0|5
11264|EDUARDO MARTIN|Male|1964-06-17|S|Partial College|Professional|90000.0|5
11265|ELIZABETH JONES|Female|1964-07-13|M|Partial College|Professional|90000.0|5
11266|TAYLOR HOWARD|Female|1964-05-05|S|Partial College|Professional|90000.0|0
11267|DAVID DIAZ|Male|1964-10-02|S|Partial College|Professional|120000.0|4
11268|KATELYN CARTER|Female|1964-05-03|M|Graduate Degree|Management|130000.0|2
11269|RYAN FOSTER|Male|1964-10-13|M|Graduate Degree|Management|130000.0|2
11270|ROBERT LEE|Male|1964-05-04|M|Graduate Degree|Management|130000.0|2
11271|DANIELLE REED|Female|1964-06-05|S|Bachelors|Management|150000.0|2
11272|LAUREN MARTINEZ|Female|1956-11-10|S|Partial College|Professional|70000.0|4
11273|NATHAN LAL|Male|1956-10-01|M|Partial College|Professional|90000.0|2
11274|KYLE FOSTER|Male|1934-04-12|M|Graduate Degree|Management|50000.0|2
11275|JENNY RAI|Female|1934-01-18|M|Graduate Degree|Management|80000.0|4
11276|NANCY CHAPMAN|Female|1963-09-19|M|Partial College|Professional|80000.0|4
11277|CHARLES JACKSON|Male|1963-06-10|M|Partial College|Professional|80000.0|4
11278|JONATHAN PHILLIPS|Male|1963-08-20|S|Partial College|Professional|90000.0|0
11279|AMANDA COOK|Female|1963-09-12|M|Partial College|Professional|90000.0|0
11280|ROBERT COLLINS|Male|1963-08-21|M|Partial College|Professional|90000.0|0
11281|MEGAN BARNES|Female|1963-10-10|S|Bachelors|Management|110000.0|4
11282|CHRISTIAN THOMAS|Male|1962-01-16|M|Partial College|Professional|90000.0|5
11283|ARTURO LAL|Male|1962-10-26|M|Bachelors|Management|110000.0|1
11284|THERESA SERRANO|Female|1962-03-27|M|Bachelors|Management|110000.0|1
11285|JEREMY ANDERSON|Male|1962-03-19|M|Partial College|Professional|120000.0|1
11286|HUNTER GRIFFIN|Male|1962-03-03|M|Graduate Degree|Management|170000.0|0
11287|HENRY GARCIA|Male|1961-01-16|M|Partial College|Professional|70000.0|5
11288|CINDY SANCHEZ|Female|1961-09-16|M|Bachelors|Management|110000.0|1
11289|MARIA CARTER|Female|1961-03-07|M|Bachelors|Management|130000.0|1
11290|KATELYN SANCHEZ|Female|1961-08-18|M|Bachelors|Management|130000.0|1
11291|JENNA WRIGHT|Female|1961-05-05|M|Bachelors|Management|130000.0|1
11292|SETH PHILLIPS|Male|1961-11-05|S|Partial College|Professional|150000.0|1
11293|LUKE LONG|Male|1955-05-27|S|High School|Professional|60000.0|2
11294|DALTON CLARK|Male|1955-09-03|M|High School|Professional|60000.0|2
11295|TAYLOR LEWIS|Female|1954-05-16|S|Partial High School|Skilled Manual|80000.0|2
11296|HALEY RICHARDSON|Female|1935-10-07|S|Graduate Degree|Management|50000.0|2
11297|NOAH COLEMAN|Male|1935-02-02|S|Graduate Degree|Management|70000.0|4
11298|JON LUO|Male|1935-03-03|M|Graduate Degree|Management|70000.0|4
11299|ORLANDO VAZQUEZ|Male|1936-04-01|M|Graduate Degree|Management|70000.0|4
11300|FERNANDO BARNES|Male|1960-03-03|M|Partial College|Professional|80000.0|5
11301|CAMERON RODRIGUEZ|Male|1960-06-09|M|Partial College|Professional|80000.0|5
11302|SPENCER RUSSELL|Male|1960-12-12|S|High School|Professional|90000.0|4
11303|JULIA COLEMAN|Female|1960-10-11|S|High School|Professional|90000.0|4
11304|JULIA GARCIA|Female|1960-03-17|M|Partial College|Professional|100000.0|0
11305|SEAN EVANS|Male|1960-06-19|M|Partial College|Professional|110000.0|3
11306|MICAH ZHOU|Male|1960-06-22|M|Partial College|Professional|110000.0|3
11307|HUNTER RODRIGUEZ|Male|1954-11-04|M|Partial High School|Skilled Manual|80000.0|2
11308|IAN GONZALES|Male|1954-03-05|M|High School|Professional|60000.0|2
11309|VICTORIA LEWIS|Female|1954-06-12|S|High School|Professional|60000.0|2
11310|ERIN SANDERS|Female|1953-07-09|S|Graduate Degree|Management|70000.0|3
11311|GABRIELLE LOPEZ|Female|1953-08-24|S|Graduate Degree|Management|70000.0|3
11312|SARA RICHARDSON|Female|1953-04-03|S|Graduate Degree|Management|70000.0|3
11313|TREVOR JENKINS|Male|1953-02-27|S|Graduate Degree|Management|70000.0|3
11315|HAILEY WARD|Female|1953-10-01|S|Graduate Degree|Management|70000.0|3
11316|LUKE ALLEN|Male|1953-11-17|M|Graduate Degree|Management|60000.0|3
11317|VICTORIA RUSSELL|Female|1952-09-17|S|Partial College|Professional|40000.0|3
11318|JESSICA WILSON|Female|1952-10-26|S|Partial College|Professional|40000.0|3
11319|JADE BAILEY|Female|1937-04-27|M|Graduate Degree|Management|70000.0|4
11320|MORGAN HILL|Female|1937-06-26|M|Graduate Degree|Management|80000.0|4
11321|TERRANCE RAMAN|Male|1938-07-08|M|Bachelors|Management|90000.0|5
11322|SYDNEY GARCIA|Female|1938-03-15|M|Bachelors|Management|90000.0|5
11323|JOSE PATTERSON|Male|1938-06-20|S|Graduate Degree|Management|120000.0|2
11324|ZACHARY ANDERSON|Male|1939-05-14|M|Bachelors|Management|90000.0|5
11325|ELIJAH ROSS|Male|1939-07-02|S|Bachelors|Management|90000.0|5
11326|RAFAEL XIE|Male|1939-06-26|M|Bachelors|Management|130000.0|2
11327|JAIME MORENO|Male|1940-03-04|M|Bachelors|Management|90000.0|5
11328|JULIAN GRIFFIN|Male|1940-01-01|M|Bachelors|Management|90000.0|5
11329|ANDY ALVAREZ|Male|1940-07-25|S|Bachelors|Management|90000.0|5
